"Date","Vegetable","lbs","Unit Price (per pound)","Cost","Bimonthly","Bimonthly_Cost","Bimonthly_lbs","year_lbs","year_cost","family"
24-03-28,"radish",40.8,"$4.16",169.73,"Late Mar",266.87,64.15,221,919.36,"Brassicaceae"
24-03-28,"collards",30.5,"$5.00",152.5,"Late Mar",315,63,275.05,1375.25,"Brassicaceae"
24-03-28,"kale",29.1,"$2.30",66.93,"Late Mar",146.17,63.55,180.85,415.98,"Brassicaceae"
24-03-28,"swiss chard",11.65,"$2.42",28.19,"Late Mar",54.21,22.4,213.7,517.16,"Amaranthaceae"
24-04-03,"mustards",21,"$2.42",50.82,"Early Apr",50.82,21,135.65,328.28,"Brassicaceae"
24-04-03,"swiss chard",19.5,"$2.42",47.19,"Early Apr",80.22,33.15,213.7,517.16,"Amaranthaceae"
24-04-03,"collards",32.15,"$5.00",160.75,"Early Apr",160.75,32.15,275.05,1375.25,"Brassicaceae"
24-04-03,"radish",28.4,"$4.16",118.14,"Early Apr",175.76,42.25,221,919.36,"Brassicaceae"
24-04-10,"kale",14.75,"$2.30",33.93,"Early Apr",33.93,14.75,180.85,415.98,"Brassicaceae"
24-04-10,"swiss chard",13.65,"$2.42",33.03,"Early Apr",80.22,33.15,213.7,517.16,"Amaranthaceae"
24-04-10,"radish",13.85,"$4.16",57.62,"Early Apr",175.76,42.25,221,919.36,"Brassicaceae"
24-04-17,"swiss chard",22.65,"$2.42",54.81,"Late Apr",129.71,53.6,213.7,517.16,"Amaranthaceae"
24-04-17,"radish",17.25,"$4.16",71.76,"Late Apr",111.07,26.7,221,919.36,"Brassicaceae"
24-04-17,"kale",10.25,"$2.30",23.58,"Late Apr",23.58,10.25,180.85,415.98,"Brassicaceae"
24-04-25,"swiss chard",30.95,"$2.42",74.9,"Late Apr",129.71,53.6,213.7,517.16,"Amaranthaceae"
24-04-25,"parsley",0.4,"$1.99",0.8,"Late Apr",0.8,0.4,5.85,11.64,"Apiaceae"
24-04-25,"lettuce",3.3,"$2.44",8.05,"Late Apr",8.05,3.3,172.15,565.28,"Asteraceae"
24-04-25,"radish",9.45,"$4.16",39.31,"Late Apr",111.07,26.7,221,919.36,"Brassicaceae"
24-05-20,"snap peas",14.95,"$9.00",134.55,"Late May",134.55,14.95,14.95,134.55,"Fabaceae"
24-05-21,"lettuce",27.35,"$2.44",66.73,"Late May",94.3,38.65,172.15,565.28,"Asteraceae"
24-05-21,"lettuce",6.1,"$2.44",14.88,"Late May",94.3,38.65,172.15,565.28,"Asteraceae"
24-05-21,"swiss chard",17.6,"$2.42",42.59,"Late May",66.79,27.6,213.7,517.16,"Amaranthaceae"
24-05-21,"spinach",9.2,"$5.48",50.42,"Late May",60.01,10.95,12.95,70.97,"Amaranthaceae"
24-05-21,"chives",1.3,"$15.00",19.5,"Late May",29.25,1.95,27.4,411,"Alliaceae"
24-05-21,"beets",2.9,"$2.02",5.86,"Late May",5.86,2.9,29.6,59.79,"Amaranthaceae"
24-05-29,"carrots",6.2,"$1.81",11.22,"Late May",11.22,6.2,27.45,49.69,"Apiaceae"
24-05-31,"swiss chard",10,"$2.42",24.2,"Late May",66.79,27.6,213.7,517.16,"Amaranthaceae"
24-05-31,"spinach",1.75,"$5.48",9.59,"Late May",60.01,10.95,12.95,70.97,"Amaranthaceae"
24-05-31,"chives",0.65,"$15.00",9.75,"Late May",29.25,1.95,27.4,411,"Alliaceae"
24-05-31,"lettuce",5.2,"$2.44",12.69,"Late May",94.3,38.65,172.15,565.28,"Asteraceae"
24-06-06,"carrots",12.3,"$1.81",22.26,"Early Jun",35.75,19.75,27.45,49.69,"Apiaceae"
24-06-06,"lettuce",0.85,"$2.44",2.07,"Early Jun",27.32,11.2,172.15,565.28,"Asteraceae"
24-06-06,"chives",0.4,"$15.00",6,"Early Jun",15.75,1.05,27.4,411,"Alliaceae"
24-06-06,"beets",7,"$2.02",14.14,"Early Jun",24.34,12.05,29.6,59.79,"Amaranthaceae"
24-06-06,"swiss chard",10.3,"$2.42",24.93,"Early Jun",53.24,22,213.7,517.16,"Amaranthaceae"
24-06-11,"carrots",4.85,"$1.81",8.78,"Early Jun",35.75,19.75,27.45,49.69,"Apiaceae"
24-06-13,"swiss chard",11.7,"$2.42",28.31,"Early Jun",53.24,22,213.7,517.16,"Amaranthaceae"
24-06-13,"chives",0.65,"$15.00",9.75,"Early Jun",15.75,1.05,27.4,411,"Alliaceae"
24-06-13,"beets",5.05,"$2.02",10.2,"Early Jun",24.34,12.05,29.6,59.79,"Amaranthaceae"
24-06-13,"carrots",2.6,"$1.81",4.71,"Early Jun",35.75,19.75,27.45,49.69,"Apiaceae"
24-06-13,"lettuce",10.35,"$2.44",25.25,"Early Jun",27.32,11.2,172.15,565.28,"Asteraceae"
24-06-20,"swiss chard",7.25,"$2.42",17.55,"Late Jun",32.31,13.35,213.7,517.16,"Amaranthaceae"
24-06-20,"beets",6.15,"$2.02",12.42,"Late Jun",29.59,14.65,29.6,59.79,"Amaranthaceae"
24-06-20,"chives",0.4,"$15.00",6,"Late Jun",18.75,1.25,27.4,411,"Alliaceae"
24-06-20,"carrots",1.5,"$1.81",2.72,"Late Jun",2.72,1.5,27.45,49.69,"Apiaceae"
24-06-26,"cucumbers",15,"$1.60",24,"Late Jun",24,15,675.2,1080.32,"Cucurbitaceae"
24-06-26,"swiss chard",6.1,"$2.42",14.76,"Late Jun",32.31,13.35,213.7,517.16,"Amaranthaceae"
24-06-26,"lettuce",11,"$2.44",26.84,"Late Jun",26.84,11,172.15,565.28,"Asteraceae"
24-06-26,"beets",8.5,"$2.02",17.17,"Late Jun",29.59,14.65,29.6,59.79,"Amaranthaceae"
24-06-26,"chives",0.85,"$15.00",12.75,"Late Jun",18.75,1.25,27.4,411,"Alliaceae"
24-07-03,"swiss chard",4.5,"$2.42",10.89,"Early Jul",10.89,4.5,213.7,517.16,"Amaranthaceae"
24-07-03,"lettuce",11.9,"$2.44",29.04,"Early Jul",71.5,29.3,172.15,565.28,"Asteraceae"
24-07-03,"chives",0.85,"$15.00",12.75,"Early Jul",25.5,1.7,27.4,411,"Alliaceae"
24-07-03,"cucumbers",6.6,"$1.60",10.56,"Early Jul",79.6,49.75,675.2,1080.32,"Cucurbitaceae"
24-07-09,"zucchini",13.2,"$3.23",42.64,"Early Jul",340.61,105.45,644.5,2081.77,"Cucurbitaceae"
24-07-09,"cucumbers",3.3,"$1.60",5.28,"Early Jul",79.6,49.75,675.2,1080.32,"Cucurbitaceae"
24-07-10,"cucumbers",23.55,"$1.60",37.68,"Early Jul",79.6,49.75,675.2,1080.32,"Cucurbitaceae"
24-07-10,"zucchini",44.3,"$3.23",143.09,"Early Jul",340.61,105.45,644.5,2081.77,"Cucurbitaceae"
24-07-10,"lettuce",17.4,"$2.44",42.46,"Early Jul",71.5,29.3,172.15,565.28,"Asteraceae"
24-07-10,"eggplant",13.2,"$2.49",32.87,"Early Jul",32.87,13.2,658.55,1639.81,"Solanaceae"
24-07-10,"chives",0.85,"$15.00",12.75,"Early Jul",25.5,1.7,27.4,411,"Alliaceae"
24-07-10,"okra",2.85,"$5.10",14.54,"Early Jul",30.11,5.903,243.853,1243.75,"Malvaceae"
24-07-11,"zucchini",19.6,"$3.23",63.31,"Early Jul",340.61,105.45,644.5,2081.77,"Cucurbitaceae"
24-07-11,"cucumbers",16.3,"$1.60",26.08,"Early Jul",79.6,49.75,675.2,1080.32,"Cucurbitaceae"
24-07-15,"zucchini",28.35,"$3.23",91.57,"Early Jul",340.61,105.45,644.5,2081.77,"Cucurbitaceae"
24-07-15,"okra",3.053,"$5.10",15.57,"Early Jul",30.11,5.903,243.853,1243.75,"Malvaceae"
24-07-17,"eggplant",31.95,"$2.49",79.56,"Late Jul",499.38,200.55,658.55,1639.81,"Solanaceae"
24-07-17,"zucchini",28.55,"$3.23",92.22,"Late Jul",1465.47,453.7,644.5,2081.77,"Cucurbitaceae"
24-07-17,"cucumbers",27.95,"$1.60",44.72,"Late Jul",325.52,203.45,675.2,1080.32,"Cucurbitaceae"
24-07-17,"chives",0.65,"$15.00",9.75,"Late Jul",26.25,1.75,27.4,411,"Alliaceae"
24-07-17,"lettuce",13.65,"$2.44",33.31,"Late Jul",33.31,13.65,172.15,565.28,"Asteraceae"
24-07-17,"okra",1.75,"$5.10",8.93,"Late Jul",86.21,16.9,243.853,1243.75,"Malvaceae"
24-07-17,"potatoes",6.8,"$2.06",14.01,"Late Jul",57.48,27.9,33.45,68.91,"Solanaceae"
24-07-18,"potatoes",21.1,"$2.06",43.47,"Late Jul",57.48,27.9,33.45,68.91,"Solanaceae"
24-07-19,"cucumbers",9,"$1.60",14.4,"Late Jul",325.52,203.45,675.2,1080.32,"Cucurbitaceae"
24-07-19,"zucchini",53.95,"$3.23",174.26,"Late Jul",1465.47,453.7,644.5,2081.77,"Cucurbitaceae"
24-07-19,"okra",1.95,"$5.10",9.95,"Late Jul",86.21,16.9,243.853,1243.75,"Malvaceae"
24-07-22,"cucumbers",26,"$1.60",41.6,"Late Jul",325.52,203.45,675.2,1080.32,"Cucurbitaceae"
24-07-22,"okra",2.85,"$5.10",14.54,"Late Jul",86.21,16.9,243.853,1243.75,"Malvaceae"
24-07-22,"zucchini",65.5,"$3.23",211.57,"Late Jul",1465.47,453.7,644.5,2081.77,"Cucurbitaceae"
24-07-22,"tomatoes",13,"$3.98",51.74,"Late Jul",74.42,18.7,82.2,327.16,"Solanaceae"
24-07-24,"cucumbers",35.8,"$1.60",57.28,"Late Jul",325.52,203.45,675.2,1080.32,"Cucurbitaceae"
24-07-24,"zucchini",27.55,"$3.23",88.99,"Late Jul",1465.47,453.7,644.5,2081.77,"Cucurbitaceae"
24-07-24,"okra",0.4,"$5.10",2.04,"Late Jul",86.21,16.9,243.853,1243.75,"Malvaceae"
24-07-24,"eggplant",75.1,"$2.49",187,"Late Jul",499.38,200.55,658.55,1639.81,"Solanaceae"
24-07-24,"peppers",8.25,"$2.65",21.86,"Late Jul",74.86,28.25,867.2,2277.29,"Solanaceae"
24-07-24,"chives",1.1,"$15.00",16.5,"Late Jul",26.25,1.75,27.4,411,"Alliaceae"
24-07-26,"okra",2.85,"$5.10",14.54,"Late Jul",86.21,16.9,243.853,1243.75,"Malvaceae"
24-07-26,"zucchini",88.5,"$3.23",285.86,"Late Jul",1465.47,453.7,644.5,2081.77,"Cucurbitaceae"
24-07-26,"cucumbers",7.05,"$1.60",11.28,"Late Jul",325.52,203.45,675.2,1080.32,"Cucurbitaceae"
24-07-26,"eggplant",31.5,"$2.49",78.44,"Late Jul",499.38,200.55,658.55,1639.81,"Solanaceae"
24-07-29,"cucumbers",43.65,"$1.60",69.84,"Late Jul",325.52,203.45,675.2,1080.32,"Cucurbitaceae"
24-07-29,"tomatoes",3.3,"$3.98",13.13,"Late Jul",74.42,18.7,82.2,327.16,"Solanaceae"
24-07-29,"zucchini",127.4,"$3.23",411.5,"Late Jul",1465.47,453.7,644.5,2081.77,"Cucurbitaceae"
24-07-29,"okra",3.7,"$5.10",18.87,"Late Jul",86.21,16.9,243.853,1243.75,"Malvaceae"
24-07-31,"cucumbers",54,"$1.60",86.4,"Late Jul",325.52,203.45,675.2,1080.32,"Cucurbitaceae"
24-07-31,"zucchini",62.25,"$3.23",201.07,"Late Jul",1465.47,453.7,644.5,2081.77,"Cucurbitaceae"
24-07-31,"okra",3.4,"$5.10",17.34,"Late Jul",86.21,16.9,243.853,1243.75,"Malvaceae"
24-07-31,"eggplant",62,"$2.49",154.38,"Late Jul",499.38,200.55,658.55,1639.81,"Solanaceae"
24-07-31,"peppers",20,"$2.65",53,"Late Jul",74.86,28.25,867.2,2277.29,"Solanaceae"
24-07-31,"tomatoes",2.4,"$3.98",9.55,"Late Jul",74.42,18.7,82.2,327.16,"Solanaceae"
24-08-05,"zucchini",43.2,"$3.23",139.54,"Early Aug",271.01,83.9,644.5,2081.77,"Cucurbitaceae"
24-08-02,"squash",4.15,"$2.36",9.79,"Early Aug",24.89,10.55,114.35,269.86,"Cucurbitaceae"
24-08-06,"eggplant",91.2,"$2.49",227.09,"Early Aug",345.49,138.75,658.55,1639.81,"Solanaceae"
24-08-06,"cucumbers",45.8,"$1.60",73.28,"Early Aug",201.68,126.05,675.2,1080.32,"Cucurbitaceae"
24-08-06,"okra",0.6,"$5.10",3.06,"Early Aug",140.77,27.6,243.853,1243.75,"Malvaceae"
24-08-06,"chives",1.1,"$15.00",16.5,"Early Aug",42.75,2.85,27.4,411,"Alliaceae"
24-08-06,"basil",0.8,"$30",24,"Early Aug",84,2.8,8.1,243,"Lamiaceae"
24-08-06,"peppers",12,"$2.65",31.8,"Early Aug",104.81,39.55,867.2,2277.29,"Solanaceae"
24-08-07,"zucchini",11.2,"$3.23",36.18,"Early Aug",271.01,83.9,644.5,2081.77,"Cucurbitaceae"
24-08-07,"okra",0.85,"$5.10",4.34,"Early Aug",140.77,27.6,243.853,1243.75,"Malvaceae"
24-08-07,"chives",1.1,"$15.00",16.5,"Early Aug",42.75,2.85,27.4,411,"Alliaceae"
24-08-07,"basil",0.9,"$30",27,"Early Aug",84,2.8,8.1,243,"Lamiaceae"
24-08-07,"squash",2.9,"$2.36",6.84,"Early Aug",24.89,10.55,114.35,269.86,"Cucurbitaceae"
24-08-09,"okra",11,"$5.10",56.1,"Early Aug",140.77,27.6,243.853,1243.75,"Malvaceae"
24-08-12,"zucchini",29.5,"$3.23",95.29,"Early Aug",271.01,83.9,644.5,2081.77,"Cucurbitaceae"
24-08-12,"squash",3.5,"$2.36",8.26,"Early Aug",24.89,10.55,114.35,269.86,"Cucurbitaceae"
24-08-12,"eggplant",47.55,"$2.49",118.4,"Early Aug",345.49,138.75,658.55,1639.81,"Solanaceae"
24-08-12,"cucumbers",40.15,"$1.60",64.24,"Early Aug",201.68,126.05,675.2,1080.32,"Cucurbitaceae"
24-08-12,"okra",11.2,"$5.10",57.12,"Early Aug",140.77,27.6,243.853,1243.75,"Malvaceae"
24-08-13,"peppers",27.55,"$2.65",73.01,"Early Aug",104.81,39.55,867.2,2277.29,"Solanaceae"
24-08-13,"lettuce",10.55,"$2.44",25.74,"Early Aug",25.74,10.55,172.15,565.28,"Asteraceae"
24-08-14,"chives",0.65,"$15.00",9.75,"Early Aug",42.75,2.85,27.4,411,"Alliaceae"
24-08-14,"basil",1.1,"$30",33,"Early Aug",84,2.8,8.1,243,"Lamiaceae"
24-08-15,"okra",3.95,"$5.10",20.15,"Early Aug",140.77,27.6,243.853,1243.75,"Malvaceae"
24-08-15,"cucumbers",40.1,"$1.60",64.16,"Early Aug",201.68,126.05,675.2,1080.32,"Cucurbitaceae"
24-08-15,"tomatoes",1.5,"$3.98",5.97,"Early Aug",5.97,1.5,82.2,327.16,"Solanaceae"
24-08-15,"onion",15.2,"$2.19",33.29,"Early Aug",33.29,15.2,15.2,33.29,"Alliaceae"
24-08-15,"potatoes",5.55,"$2.06",11.43,"Early Aug",11.43,5.55,33.45,68.91,"Solanaceae"
24-08-16,"eggplant",17.4,"$2.49",43.33,"Late Aug",365.04,146.6,658.55,1639.81,"Solanaceae"
24-08-16,"squash",8.85,"$2.36",20.89,"Late Aug",91.92,38.95,114.35,269.86,"Cucurbitaceae"
24-08-16,"zucchini",1.45,"$3.23",4.68,"Late Aug",4.68,1.45,644.5,2081.77,"Cucurbitaceae"
24-08-16,"basil",0.85,"$30",25.5,"Late Aug",25.5,0.85,8.1,243,"Lamiaceae"
24-08-16,"cucumbers",15.85,"$1.60",25.36,"Late Aug",293.2,183.25,675.2,1080.32,"Cucurbitaceae"
24-08-16,"okra",7.9,"$5.10",40.29,"Late Aug",249.9,49,243.853,1243.75,"Malvaceae"
24-08-19,"cucumbers",42.95,"$1.60",68.72,"Late Aug",293.2,183.25,675.2,1080.32,"Cucurbitaceae"
24-08-19,"squash",5.5,"$2.36",12.98,"Late Aug",91.92,38.95,114.35,269.86,"Cucurbitaceae"
24-08-19,"okra",10.1,"$5.10",51.51,"Late Aug",249.9,49,243.853,1243.75,"Malvaceae"
24-08-22,"cucumbers",33.25,"$1.60",53.2,"Late Aug",293.2,183.25,675.2,1080.32,"Cucurbitaceae"
24-08-22,"eggplant",56.25,"$2.49",140.06,"Late Aug",365.04,146.6,658.55,1639.81,"Solanaceae"
24-08-22,"peppers",24.25,"$2.65",64.26,"Late Aug",193.85,73.15,867.2,2277.29,"Solanaceae"
24-08-26,"okra",9.9,"$5.10",50.49,"Late Aug",249.9,49,243.853,1243.75,"Malvaceae"
24-08-26,"squash",4.4,"$2.36",10.38,"Late Aug",91.92,38.95,114.35,269.86,"Cucurbitaceae"
24-08-26,"cucumbers",34.8,"$1.60",55.68,"Late Aug",293.2,183.25,675.2,1080.32,"Cucurbitaceae"
24-08-27,"peppers",23.55,"$2.65",62.41,"Late Aug",193.85,73.15,867.2,2277.29,"Solanaceae"
24-08-27,"eggplant",72.95,"$2.49",181.65,"Late Aug",365.04,146.6,658.55,1639.81,"Solanaceae"
24-08-28,"okra",9,"$5.10",45.9,"Late Aug",249.9,49,243.853,1243.75,"Malvaceae"
24-08-28,"squash",11.65,"$2.36",27.49,"Late Aug",91.92,38.95,114.35,269.86,"Cucurbitaceae"
24-08-28,"cucumbers",23.8,"$1.60",38.08,"Late Aug",293.2,183.25,675.2,1080.32,"Cucurbitaceae"
24-08-28,"chives",0.65,"$15.00",9.75,"Late Aug",9.75,0.65,27.4,411,"Alliaceae"
24-08-29,"peppers",25.35,"$2.65",67.18,"Late Aug",193.85,73.15,867.2,2277.29,"Solanaceae"
24-08-30,"okra",12.1,"$5.10",61.71,"Late Aug",249.9,49,243.853,1243.75,"Malvaceae"
24-08-30,"squash",8.55,"$2.36",20.18,"Late Aug",91.92,38.95,114.35,269.86,"Cucurbitaceae"
24-08-30,"cucumbers",32.6,"$1.60",52.16,"Late Aug",293.2,183.25,675.2,1080.32,"Cucurbitaceae"
24-09-03,"squash",32.6,"$2.36",76.94,"Early Sep",132.99,56.35,114.35,269.86,"Cucurbitaceae"
24-09-03,"cucumbers",30.2,"$1.60",48.32,"Early Sep",121.2,75.75,675.2,1080.32,"Cucurbitaceae"
24-09-03,"okra",10,"$5.10",51,"Early Sep",192.28,37.7,243.853,1243.75,"Malvaceae"
24-09-04,"eggplant",65,"$2.49",161.85,"Early Sep",323.7,130,658.55,1639.81,"Solanaceae"
24-09-04,"peppers",34.35,"$2.65",91.03,"Early Sep",181.13,68.35,867.2,2277.29,"Solanaceae"
24-09-04,"watermelon",287.45,"$0.99",284.58,"Early Sep",1528.67,1544.1,2164.7,2143.06,"Cucurbitaceae"
24-09-06,"cucumbers",25.55,"$1.60",40.88,"Early Sep",121.2,75.75,675.2,1080.32,"Cucurbitaceae"
24-09-06,"okra",8.35,"$5.10",42.59,"Early Sep",192.28,37.7,243.853,1243.75,"Malvaceae"
24-09-06,"squash",12.75,"$2.36",30.09,"Early Sep",132.99,56.35,114.35,269.86,"Cucurbitaceae"
24-09-06,"watermelon",24.45,"$0.99",24.21,"Early Sep",1528.67,1544.1,2164.7,2143.06,"Cucurbitaceae"
24-09-09,"squash",2.2,"$2.36",5.19,"Early Sep",132.99,56.35,114.35,269.86,"Cucurbitaceae"
24-09-09,"okra",6.6,"$5.10",33.66,"Early Sep",192.28,37.7,243.853,1243.75,"Malvaceae"
24-09-09,"cucumbers",3.7,"$1.60",5.92,"Early Sep",121.2,75.75,675.2,1080.32,"Cucurbitaceae"
24-09-09,"tomatoes",6.6,"$3.98",26.27,"Early Sep",26.27,6.6,82.2,327.16,"Solanaceae"
24-09-09,"cherry tomatoes",1.1,"$4.99",5.49,"Early Sep",5.49,1.1,54.75,273.21,"Solanaceae"
24-09-11,"watermelon",297.95,"$0.99",294.97,"Early Sep",1528.67,1544.1,2164.7,2143.06,"Cucurbitaceae"
24-09-12,"cucumbers",16.3,"$1.60",26.08,"Early Sep",121.2,75.75,675.2,1080.32,"Cucurbitaceae"
24-09-12,"eggplant",65,"$2.49",161.85,"Early Sep",323.7,130,658.55,1639.81,"Solanaceae"
24-09-12,"squash",8.8,"$2.36",20.77,"Early Sep",132.99,56.35,114.35,269.86,"Cucurbitaceae"
24-09-12,"peppers",34,"$2.65",90.1,"Early Sep",181.13,68.35,867.2,2277.29,"Solanaceae"
24-09-12,"watermelon",303,"$0.99",299.97,"Early Sep",1528.67,1544.1,2164.7,2143.06,"Cucurbitaceae"
24-09-12,"basil",0.75,"$30",22.5,"Early Sep",22.5,0.75,8.1,243,"Lamiaceae"
24-09-13,"watermelon",631.25,"$0.99",624.94,"Early Sep",1528.67,1544.1,2164.7,2143.06,"Cucurbitaceae"
24-09-13,"okra",12.75,"$5.10",65.03,"Early Sep",192.28,37.7,243.853,1243.75,"Malvaceae"
24-09-16,"cherry tomatoes",3.3,"$4.99",16.47,"Late Sep",93.82,18.8,54.75,273.21,"Solanaceae"
24-09-16,"okra",9.45,"$5.10",48.2,"Late Sep",248.64,48.75,243.853,1243.75,"Malvaceae"
24-09-16,"cucumbers",7.45,"$1.60",11.92,"Late Sep",35.12,21.95,675.2,1080.32,"Cucurbitaceae"
24-09-17,"watermelon",379.6,"$0.99",375.8,"Late Sep",614.39,620.6,2164.7,2143.06,"Cucurbitaceae"
24-09-17,"cucumbers",1.95,"$1.60",3.12,"Late Sep",35.12,21.95,675.2,1080.32,"Cucurbitaceae"
24-09-18,"okra",3.05,"$5.10",15.56,"Late Sep",248.64,48.75,243.853,1243.75,"Malvaceae"
24-09-18,"peppers",19.15,"$2.65",50.75,"Late Sep",249.63,94.2,867.2,2277.29,"Solanaceae"
24-09-18,"squash",1.95,"$2.36",4.6,"Late Sep",20.06,8.5,114.35,269.86,"Cucurbitaceae"
24-09-18,"eggplant",9.9,"$2.49",24.65,"Late Sep",73.33,29.45,658.55,1639.81,"Solanaceae"
24-09-18,"watermelon",30,"$0.99",29.7,"Late Sep",614.39,620.6,2164.7,2143.06,"Cucurbitaceae"
24-09-19,"peppers",24.45,"$2.65",64.79,"Late Sep",249.63,94.2,867.2,2277.29,"Solanaceae"
24-09-19,"squash",5.05,"$2.36",11.92,"Late Sep",20.06,8.5,114.35,269.86,"Cucurbitaceae"
24-09-19,"tomatoes",7.25,"$3.98",28.86,"Late Sep",64.68,16.25,82.2,327.16,"Solanaceae"
24-09-19,"cherry tomatoes",1.75,"$4.99",8.73,"Late Sep",93.82,18.8,54.75,273.21,"Solanaceae"
24-09-19,"watermelon",211,"$0.99",208.89,"Late Sep",614.39,620.6,2164.7,2143.06,"Cucurbitaceae"
24-09-19,"eggplant",9,"$2.49",22.41,"Late Sep",73.33,29.45,658.55,1639.81,"Solanaceae"
24-09-20,"okra",0.65,"$5.10",3.32,"Late Sep",248.64,48.75,243.853,1243.75,"Malvaceae"
24-09-20,"tomatoes",4.6,"$3.98",18.31,"Late Sep",64.68,16.25,82.2,327.16,"Solanaceae"
24-09-23,"okra",21.6,"$5.10",110.16,"Late Sep",248.64,48.75,243.853,1243.75,"Malvaceae"
24-09-23,"squash",0.2,"$2.36",0.47,"Late Sep",20.06,8.5,114.35,269.86,"Cucurbitaceae"
24-09-23,"tomatoes",4.4,"$3.98",17.51,"Late Sep",64.68,16.25,82.2,327.16,"Solanaceae"
24-09-23,"cherry tomatoes",2.4,"$4.99",11.98,"Late Sep",93.82,18.8,54.75,273.21,"Solanaceae"
